# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	3214522	1313	-							G7066_RS00005	2343		old_locus_tag=G7066_00005
CDS	with_protein	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	3214522	1313	-	WP_166331820.1	WP_166331820.1		AAA family ATPase			G7066_RS00005	2343	780	
gene	protein_coding	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	1318	1653	-							G7066_RS00010	336		old_locus_tag=G7066_00010
CDS	with_protein	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	1318	1653	-	WP_166328088.1	WP_166328088.1		DUF86 domain-containing protein			G7066_RS00010	336	111	
gene	protein_coding	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	1650	1979	-							G7066_RS00015	330		old_locus_tag=G7066_00015
CDS	with_protein	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	1650	1979	-	WP_166328090.1	WP_166328090.1		nucleotidyltransferase domain-containing protein			G7066_RS00015	330	109	
gene	protein_coding	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	2062	2676	-					kdpC		G7066_RS00020	615		old_locus_tag=G7066_00020
CDS	with_protein	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	2062	2676	-	WP_166328092.1	WP_166328092.1		potassium-transporting ATPase subunit KdpC	kdpC		G7066_RS00020	615	204	
gene	protein_coding	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	2688	4808	-					kdpB		G7066_RS00025	2121		old_locus_tag=G7066_00025
CDS	with_protein	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	2688	4808	-	WP_166328094.1	WP_166328094.1		potassium-transporting ATPase subunit KdpB	kdpB		G7066_RS00025	2121	706	
gene	protein_coding	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	4805	6481	-					kdpA		G7066_RS00030	1677		old_locus_tag=G7066_00030
CDS	with_protein	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	4805	6481	-	WP_166328096.1	WP_166328096.1		potassium-transporting ATPase subunit KdpA	kdpA		G7066_RS00030	1677	558	
gene	protein_coding	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	6728	7450	-							G7066_RS00035	723		old_locus_tag=G7066_00035
CDS	with_protein	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	6728	7450	-	WP_166328098.1	WP_166328098.1		hypothetical protein			G7066_RS00035	723	240	
gene	protein_coding	GCF_011382985.1	Primary Assembly	chromosome		NZ_CP049933.1	7541	8737	-							G7066_RS00040	1197		old_locus_tag=G7066_00040
