# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	2404071	371	+					pgsA		H9L06_RS00005	603		old_locus_tag=H9L06_00005
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	2404071	371	+	WP_187555299.1	WP_187555299.1		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	pgsA		H9L06_RS00005	603	200	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	364	918	+							H9L06_RS00010	555		old_locus_tag=H9L06_00010
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	364	918	+	WP_246454402.1	WP_246454402.1		CinA family protein			H9L06_RS00010	555	184	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	1112	1432	+							H9L06_RS00015	321		old_locus_tag=H9L06_00015
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	1112	1432	+	WP_187555300.1	WP_187555300.1		helix-turn-helix domain-containing protein			H9L06_RS00015	321	106	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	1438	1659	+							H9L06_RS00020	222		old_locus_tag=H9L06_00020
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	1438	1659	+	WP_187555301.1	WP_187555301.1		DUF3046 domain-containing protein			H9L06_RS00020	222	73	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	1910	2971	+					recA		H9L06_RS00025	1062		old_locus_tag=H9L06_00025
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	1910	2971	+	WP_187555302.1	WP_187555302.1		recombinase RecA	recA		H9L06_RS00025	1062	353	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	2974	3690	+							H9L06_RS00030	717		old_locus_tag=H9L06_00030
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	2974	3690	+	WP_187555303.1	WP_187555303.1		recombination regulator RecX			H9L06_RS00030	717	238	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	3730	5262	+					miaB		H9L06_RS00035	1533		old_locus_tag=H9L06_00035
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	3730	5262	+	WP_187555304.1	WP_187555304.1		tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	miaB		H9L06_RS00035	1533	510	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	5282	6145	+					miaA		H9L06_RS00040	864		old_locus_tag=H9L06_00040
