# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	3478396	681	+					dnaJ		EVS81_RS00005	1101		old_locus_tag=EVS81_00005
CDS	with_protein	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	3478396	681	+	WP_130108579.1	WP_130108579.1		molecular chaperone DnaJ	dnaJ		EVS81_RS00005	1101	366	
gene	protein_coding	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	686	1453	+							EVS81_RS00010	768		old_locus_tag=EVS81_00010
CDS	with_protein	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	686	1453	+	WP_130108580.1	WP_130108580.1		16S rRNA (uracil(1498)-N(3))-methyltransferase			EVS81_RS00010	768	255	
gene	protein_coding	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	1886	2617	-							EVS81_RS00015	732		old_locus_tag=EVS81_00015
CDS	with_protein	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	1886	2617	-	WP_130108581.1	WP_130108581.1		hypothetical protein			EVS81_RS00015	732	243	
gene	protein_coding	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	2791	3975	+							EVS81_RS15960	1185		
CDS	with_protein	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	2791	3975	+	WP_240739888.1	WP_240739888.1		hypothetical protein			EVS81_RS15960	1185	394	
gene	protein_coding	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	3980	4441	+							EVS81_RS00025	462		old_locus_tag=EVS81_00025
CDS	with_protein	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	3980	4441	+	WP_130108582.1	WP_130108582.1		16S rRNA (uracil(1498)-N(3))-methyltransferase			EVS81_RS00025	462	153	
gene	protein_coding	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	4459	5742	-							EVS81_RS00030	1284		old_locus_tag=EVS81_00030
CDS	with_protein	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	4459	5742	-	WP_130108583.1	WP_130108583.1		ABC transporter permease			EVS81_RS00030	1284	427	
gene	protein_coding	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	5739	6488	-							EVS81_RS00035	750		old_locus_tag=EVS81_00035
CDS	with_protein	GCF_004208635.1	Primary Assembly	chromosome		NZ_CP035806.1	5739	6488	-	WP_240739889.1	WP_240739889.1		ABC transporter ATP-binding protein			EVS81_RS00035	750	249	
