# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	2915641	546	-							G7067_RS00005	1308		old_locus_tag=G7067_00005
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	2915641	546	-	WP_166321102.1	WP_166321102.1		M18 family aminopeptidase			G7067_RS00005	1308	435	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	549	2057	-							G7067_RS00010	1509		old_locus_tag=G7067_00010
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	549	2057	-	WP_166321103.1	WP_166321103.1		leucyl aminopeptidase			G7067_RS00010	1509	502	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	2338	3387	+							G7067_RS00015	1050		old_locus_tag=G7067_00015
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	2338	3387	+	WP_166321104.1	WP_166321104.1		LLM class flavin-dependent oxidoreductase			G7067_RS00015	1050	349	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	3632	4516	-							G7067_RS00020	885		old_locus_tag=G7067_00020
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	3632	4516	-	WP_166321105.1	WP_166321105.1		LppP/LprE family lipoprotein			G7067_RS00020	885	294	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	4930	5997	+							G7067_RS00025	1068		old_locus_tag=G7067_00025
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	4930	5997	+	WP_166321106.1	WP_166321106.1		ECF transporter S component			G7067_RS00025	1068	355	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	6206	8068	-							G7067_RS00030	1863		old_locus_tag=G7067_00030
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	6206	8068	-	WP_205881155.1	WP_205881155.1		hypothetical protein			G7067_RS00030	1863	620	
